,CustomerID,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Gender,SeniorCitizen,Partner,Dependents,MultipleLines,ChurnRate
30,0048-LUMLS,2017-01-01,,One year,No,Credit card (automatic),91.2,3247.55,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,No,0
31,0048-PIHNL,2016-01-01,,One year,No,Bank transfer (automatic),20.45,900.9,,,,,,,,Female,0,Yes,No,No,0
32,0052-DCKON,2014-08-01,,One year,No,Bank transfer (automatic),115.8,7942.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
33,0052-YNYOT,2014-07-01,,One year,No,Electronic check,20.55,1343.4,,,,,,,,Female,0,No,No,No,0
34,0056-EPFBG,2018-06-01,,Two year,Yes,Credit card (automatic),39.4,825.4,DSL,Yes,No,Yes,Yes,No,No,Male,0,Yes,Yes,,0
35,0057-QBUQH,2016-07-01,,Two year,Yes,Electronic check,25.1,1070.15,,,,,,,,Female,0,No,Yes,Yes,0
36,0058-EVZWM,2015-07-01,,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,Fiber optic,Yes,No,No,No,Yes,No,Female,0,Yes,No,Yes,0
37,0060-FUALY,2015-03-01,,Month-to-month,Yes,Electronic check,94.75,5597.65,Fiber optic,Yes,Yes,No,No,Yes,No,Female,0,Yes,No,Yes,0
38,0064-SUDOG,2019-02-01,,Two year,No,Bank transfer (automatic),20.3,224.5,,,,,,,,Female,0,Yes,Yes,No,0
39,0064-YIJGF,2017-11-01,,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
40,0067-DKWBL,2019-10-01,2019-12-01,Month-to-month,Yes,Electronic check,49.25,91.1,DSL,Yes,No,No,No,No,No,Male,1,No,No,No,1
41,0068-FIGTF,2017-11-01,,One year,No,Mailed check,78.2,2078.95,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
42,0071-NDAFP,2018-01-01,,Two year,No,Credit card (automatic),25.5,630.6,,,,,,,,Male,0,Yes,Yes,Yes,0
43,0074-HDKDG,2018-01-01,,One year,Yes,Bank transfer (automatic),61.6,1611.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
44,0076-LVEPS,2017-09-01,,Month-to-month,Yes,Mailed check,45.0,1242.45,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,No,Yes,,0
45,0078-XZMHT,2014-02-01,,Two year,Yes,Bank transfer (automatic),85.15,6316.2,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
46,0080-EMYVY,2018-12-01,,One year,No,Credit card (automatic),51.45,727.85,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,0
47,0080-OROZO,2017-03-01,,One year,Yes,Electronic check,99.25,3532.0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
48,0082-LDZUE,2020-01-01,,Month-to-month,Yes,Mailed check,44.3,44.3,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
49,0082-OQIQY,2017-09-01,,Month-to-month,Yes,Electronic check,94.2,2607.6,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,No,No,0
50,0083-PIVIK,2014-10-01,,One year,No,Electronic check,81.25,5567.55,DSL,Yes,Yes,Yes,Yes,Yes,No,Male,0,No,No,Yes,0
51,0089-IIQKO,2016-11-01,,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,Fiber optic,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
52,0093-EXYQL,2016-10-01,,Month-to-month,Yes,Electronic check,91.55,3673.6,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,No,0
53,0093-XWZFY,2016-09-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
54,0094-OIFMO,2018-12-01,2019-11-01,Month-to-month,Yes,Electronic check,95.0,1120.3,Fiber optic,No,Yes,No,No,Yes,Yes,Female,1,No,No,No,1
55,0096-BXERS,2019-08-01,,Month-to-month,No,Electronic check,50.35,314.55,DSL,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
56,0096-FCPUF,2017-08-01,,Month-to-month,Yes,Mailed check,64.5,1888.45,DSL,Yes,No,No,No,No,Yes,Male,0,No,No,Yes,0
57,0098-BOWSO,2017-11-01,,Month-to-month,Yes,Electronic check,19.4,529.8,,,,,,,,Male,0,No,No,No,0
58,0100-DUVFC,2014-04-01,,One year,Yes,Electronic check,104.8,7308.95,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0
59,0103-CSITQ,2015-05-01,,One year,Yes,Bank transfer (automatic),109.4,6252.7,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
60,0104-PPXDV,2015-04-01,,One year,No,Credit card (automatic),50.3,2878.55,DSL,No,No,Yes,No,No,No,Male,0,Yes,No,No,0
61,0106-GHRQR,2018-10-01,,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,DSL,No,Yes,Yes,No,No,Yes,Male,0,No,No,Yes,0
62,0106-UGRDO,2014-05-01,,Two year,Yes,Electronic check,116.0,8182.85,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
63,0107-WESLM,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,19.85,19.85,,,,,,,,Male,0,No,No,No,1
64,0107-YHINA,2019-10-01,2019-11-01,Month-to-month,Yes,Electronic check,99.75,99.75,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,1
65,0111-KLBQG,2017-06-01,,Month-to-month,Yes,Mailed check,93.95,2861.45,Fiber optic,No,Yes,No,No,Yes,Yes,Male,1,Yes,Yes,No,0
66,0112-QAWRZ,2018-10-01,,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,Fiber optic,No,No,Yes,No,Yes,No,Male,0,Yes,Yes,Yes,0
67,0112-QWPNC,2015-10-01,2019-11-01,One year,No,Electronic check,84.35,4059.35,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
68,0114-IGABW,2014-03-01,,Two year,No,Bank transfer (automatic),58.25,4145.9,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,,0
69,0114-PEGZZ,2017-05-01,,Month-to-month,No,Electronic check,107.55,3645.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
70,0114-RSRRW,2019-04-01,,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,,,,,,,,Female,0,Yes,No,No,0
71,0115-TFERT,2018-02-01,2019-11-01,Month-to-month,Yes,Electronic check,111.2,2317.1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
72,0117-LFRMW,2016-09-01,2019-10-01,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,Yes,,1
73,0118-JPNOY,2017-12-01,,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,Fiber optic,Yes,No,No,No,Yes,No,Female,1,No,No,No,0
74,0121-SNYRK,2015-12-01,,One year,Yes,Mailed check,35.4,1748.9,DSL,Yes,No,No,Yes,No,No,Male,0,No,No,,0
75,0122-OAHPZ,2019-05-01,2019-12-01,Month-to-month,Yes,Electronic check,73.85,511.25,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,1
76,0123-CRBRT,2015-01-01,,Two year,No,Mailed check,88.1,5526.75,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
77,0125-LZQXK,2018-07-01,2019-10-01,Month-to-month,Yes,Electronic check,101.35,1553.95,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,1
78,0128-MKWSG,2017-12-01,,Month-to-month,No,Mailed check,45.8,1147.0,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,,0
79,0129-KPTWJ,2014-02-01,,Month-to-month,Yes,Electronic check,94.65,6747.35,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,No,0
80,0129-QMPDR,2016-06-01,,One year,Yes,Bank transfer (automatic),20.5,865.05,,,,,,,,Male,0,Yes,Yes,No,0
81,0130-SXOUN,2014-08-01,,Month-to-month,No,Credit card (automatic),89.4,5976.9,Fiber optic,No,Yes,No,No,No,Yes,Male,0,No,No,Yes,0
82,0133-BMFZO,2019-10-01,2019-12-01,Month-to-month,Yes,Electronic check,86.25,181.65,Fiber optic,Yes,Yes,No,Yes,No,No,Female,0,No,No,No,1
83,0134-XWXCE,2016-06-01,,One year,No,Bank transfer (automatic),74.85,3268.05,DSL,No,No,Yes,Yes,Yes,Yes,Female,1,No,No,No,0
84,0135-NMXAP,2018-11-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,Fiber optic,No,Yes,No,No,Yes,No,Female,0,No,No,Yes,1
85,0136-IFMYD,2014-05-01,,Two year,Yes,Electronic check,109.95,7634.25,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,No,Yes,0
86,0137-OCGAB,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,80.2,80.2,Fiber optic,No,Yes,No,No,No,No,Female,0,No,No,Yes,1
87,0137-UDEUO,2019-08-01,2019-11-01,Month-to-month,No,Mailed check,19.85,63.75,,,,,,,,Female,0,No,No,No,1
88,0139-IVFJG,2019-12-01,,Month-to-month,No,Electronic check,90.35,190.5,Fiber optic,Yes,Yes,No,No,Yes,No,Female,0,Yes,No,No,0
89,0141-YEAYS,2017-11-01,,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,Fiber optic,No,Yes,Yes,No,No,No,Female,1,No,No,Yes,0
90,0142-GVYSN,2017-12-01,,Month-to-month,Yes,Electronic check,20.3,511.25,,,,,,,,Male,0,No,No,No,0
91,0147-ESWWR,2016-11-01,,Month-to-month,Yes,Electronic check,101.25,3949.15,Fiber optic,No,No,No,Yes,Yes,Yes,Female,1,Yes,No,Yes,0
92,0148-DCDOS,2017-09-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,1
93,0151-ONTOV,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,70.9,70.9,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
94,0156-FVPTA,2018-01-01,2019-11-01,Month-to-month,Yes,Electronic check,54.2,1152.7,DSL,Yes,No,No,Yes,No,No,Male,0,Yes,No,No,1
95,0164-APGRB,2014-02-01,,Two year,Yes,Electronic check,114.9,8496.7,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
96,0164-XAIRP,2018-02-01,,Two year,Yes,Bank transfer (automatic),19.55,470.2,,,,,,,,Female,0,No,No,No,0
97,0168-XZKBB,2018-07-01,,Month-to-month,Yes,Electronic check,86.85,1564.4,Fiber optic,No,No,No,No,Yes,No,Female,0,Yes,No,Yes,0
98,0174-QRVVY,2014-03-01,,Two year,No,Credit card (automatic),25.35,1847.55,,,,,,,,Male,0,Yes,Yes,Yes,0
99,0177-PXBAT,2017-05-01,,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,No,Yes,0
100,0178-CIIKR,2019-11-01,,Month-to-month,No,Mailed check,19.95,58.0,,,,,,,,Female,0,No,No,No,0
101,0178-SZBHO,2016-03-01,,Month-to-month,No,Electronic check,87.2,4017.45,Fiber optic,No,Yes,No,No,Yes,No,Male,0,Yes,Yes,Yes,0
102,0181-RITDD,2014-12-01,,Two year,No,Mailed check,108.15,6825.65,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
103,0186-CAERR,2014-03-01,,One year,Yes,Bank transfer (automatic),116.3,8309.55,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0
104,0187-QSXOE,2019-07-01,,Month-to-month,Yes,Electronic check,89.0,605.45,Fiber optic,No,No,No,No,Yes,Yes,Male,1,Yes,No,No,0
105,0187-WZNAB,2017-11-01,,Month-to-month,No,Mailed check,74.4,1972.35,Fiber optic,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
106,0188-GWFLE,2019-12-01,,Month-to-month,No,Mailed check,20.05,33.7,,,,,,,,Male,0,No,No,No,0
107,0191-EQUUH,2018-01-01,,Two year,No,Bank transfer (automatic),35.05,844.45,DSL,Yes,No,No,Yes,No,No,Female,0,No,Yes,,0
108,0191-ZHSKZ,2017-08-01,,Month-to-month,Yes,Electronic check,74.75,2111.3,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
109,0193-ESZXP,2014-12-01,2019-10-01,One year,Yes,Credit card (automatic),105.5,6205.5,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Female,1,Yes,No,No,1
110,0195-IESCP,2019-03-01,2020-01-01,Month-to-month,Yes,Electronic check,85.25,855.3,Fiber optic,No,No,No,No,No,Yes,Male,0,Yes,No,Yes,1
111,0196-JTUQI,2019-05-01,,Month-to-month,Yes,Credit card (automatic),75.2,633.85,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
112,0196-VULGZ,2019-06-01,2019-12-01,Month-to-month,Yes,Electronic check,84.35,474.9,Fiber optic,No,No,No,No,No,Yes,Female,1,Yes,No,Yes,1
113,0197-PNKNK,2014-05-01,,One year,No,Bank transfer (automatic),84.45,5848.6,Fiber optic,Yes,No,Yes,No,No,No,Female,0,Yes,Yes,Yes,0
114,0201-MIBOL,2014-08-01,,Two year,Yes,Bank transfer (automatic),102.4,6471.85,Fiber optic,Yes,No,No,No,Yes,Yes,Female,1,No,No,Yes,0
115,0201-OAMXR,2014-01-01,2019-11-01,One year,No,Credit card (automatic),115.55,8127.6,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,1
116,0203-HHYIJ,2017-09-01,2019-10-01,One year,No,Bank transfer (automatic),25.3,676.35,,,,,,,,Male,0,No,No,Yes,1
117,0206-OYVOC,2016-04-01,,Two year,Yes,Mailed check,19.25,864.2,,,,,,,,Female,0,Yes,Yes,No,0
118,0206-TBWLC,2015-08-01,,One year,Yes,Mailed check,114.65,6049.5,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
119,0207-MDKNV,2018-08-01,2019-11-01,Month-to-month,No,Electronic check,105.1,1582.75,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,1
120,0208-BPQEJ,2019-02-01,,Month-to-month,No,Bank transfer (automatic),19.4,198.1,,,,,,,,Female,0,Yes,Yes,No,0
121,0212-ISBBF,2018-04-01,,Month-to-month,Yes,Electronic check,50.35,1098.85,DSL,No,Yes,No,No,Yes,Yes,Female,0,No,No,,0
122,0214-JHPFW,2014-04-01,,Two year,No,Bank transfer (automatic),57.8,4039.3,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,,0
123,0215-BQKGS,2017-08-01,,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,Fiber optic,Yes,Yes,Yes,No,No,No,Male,0,No,No,No,0
124,0218-QNVAS,2014-03-01,,One year,No,Bank transfer (automatic),100.55,7113.75,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,0
125,0219-QAERP,2017-08-01,,One year,No,Credit card (automatic),19.8,576.65,,,,,,,,Male,0,Yes,No,No,0
126,0219-YTZUE,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,Yes,1
127,0220-EBGCE,2019-09-01,2019-11-01,Month-to-month,Yes,Electronic check,85.85,167.3,Fiber optic,No,No,Yes,No,No,Yes,Male,0,No,No,No,1
128,0221-NAUXK,2019-04-01,,One year,Yes,Bank transfer (automatic),19.95,219.5,,,,,,,,Male,0,No,Yes,No,0
129,0221-WMXNQ,2019-10-01,,Month-to-month,No,Electronic check,75.35,273.4,Fiber optic,Yes,No,No,No,No,No,Male,1,No,No,No,0
130,0222-CNVPT,2015-10-01,,Month-to-month,Yes,Credit card (automatic),48.8,2555.05,DSL,Yes,No,No,No,Yes,Yes,Male,1,No,No,,0
131,0224-HJAPT,2019-05-01,2019-10-01,Month-to-month,No,Electronic check,47.15,223.15,DSL,No,No,No,No,No,No,Male,0,No,No,Yes,1
132,0224-NIJLP,2019-06-01,,Two year,No,Mailed check,20.15,165.5,,,,,,,,Male,0,Yes,Yes,No,0
133,0224-RLWWD,2019-12-01,,Month-to-month,Yes,Electronic check,44.3,89.3,DSL,No,No,No,No,No,No,Female,1,No,No,No,0
134,0225-ZORZP,2019-11-01,,Month-to-month,No,Electronic check,84.3,235.05,Fiber optic,No,Yes,No,No,No,Yes,Male,0,No,No,No,0
135,0228-MAUWC,2018-07-01,,Month-to-month,No,Electronic check,59.55,1144.6,DSL,No,No,Yes,Yes,No,No,Male,0,No,No,Yes,0
136,0229-LFJAF,2014-02-01,,Two year,No,Bank transfer (automatic),69.65,4908.25,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,No,No,Yes,0
137,0230-UBYPQ,2014-11-01,,One year,No,Bank transfer (automatic),36.1,2298.9,DSL,Yes,No,No,Yes,No,No,Male,1,Yes,No,,0
138,0230-WEQUW,2014-08-01,,Two year,Yes,Bank transfer (automatic),56.6,3789.2,DSL,Yes,Yes,Yes,Yes,Yes,No,Male,0,Yes,No,,0
139,0231-LXVAP,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,75.9,75.9,Fiber optic,No,No,No,Yes,No,No,Male,0,No,No,No,1
140,0233-FTHAV,2015-02-01,,One year,Yes,Bank transfer (automatic),79.2,4765.0,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,Yes,0
141,0234-TEVTT,2016-02-01,,One year,No,Credit card (automatic),45.0,2196.3,DSL,Yes,No,Yes,No,No,Yes,Female,0,Yes,Yes,,0
142,0235-KGSLC,2019-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),85.55,85.55,Fiber optic,No,No,Yes,No,Yes,No,Female,0,No,No,No,1
143,0236-HFWSV,2018-08-01,2019-11-01,Month-to-month,Yes,Electronic check,93.35,1444.65,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,1
144,0237-YFUTL,2015-12-01,,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.8,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
145,0238-WHBIQ,2014-02-01,,Two year,No,Credit card (automatic),89.7,6339.3,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
146,0239-OXEXL,2016-04-01,,Month-to-month,No,Mailed check,84.25,3847.6,Fiber optic,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,0
147,0244-LGNFY,2014-02-01,,Two year,No,Bank transfer (automatic),92.65,6733.0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
148,0247-SLUJI,2020-01-01,,Month-to-month,No,Mailed check,19.7,19.7,,,,,,,,Male,0,Yes,Yes,No,0
149,0248-IPDFW,2020-01-01,,Month-to-month,Yes,Electronic check,50.1,50.1,DSL,No,No,No,No,No,No,Female,0,No,No,Yes,0
150,0248-PGHBZ,2014-07-01,,Two year,Yes,Bank transfer (automatic),92.45,6140.85,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,1,No,No,No,0
151,0253-ZTEOB,2016-02-01,,Two year,No,Electronic check,79.65,3870.3,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
152,0254-FNMCI,2014-02-01,,Two year,Yes,Electronic check,109.9,7624.2,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
153,0254-KCJGT,2015-10-01,,One year,Yes,Credit card (automatic),81.4,4354.45,DSL,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,No,Yes,0
154,0254-WWRKD,2014-07-01,,One year,No,Credit card (automatic),50.55,3431.75,DSL,No,Yes,No,No,No,No,Female,0,Yes,Yes,No,0
155,0256-LTHVJ,2017-06-01,2019-10-01,Month-to-month,Yes,Electronic check,81.05,2227.1,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,1
156,0257-KXZGU,2017-06-01,,Month-to-month,No,Bank transfer (automatic),62.45,2045.55,DSL,No,Yes,Yes,No,No,No,Female,0,Yes,Yes,Yes,0
157,0257-ZESQC,2017-07-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,Fiber optic,Yes,No,No,No,No,No,Female,1,Yes,No,No,1
158,0258-NOKBL,2019-11-01,,Month-to-month,No,Electronic check,90.4,268.45,Fiber optic,No,Yes,Yes,No,No,Yes,Male,0,No,No,No,0
159,0259-GBZSH,2019-08-01,2019-10-01,Month-to-month,Yes,Electronic check,85.65,181.5,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,Yes,1
160,0260-ZDLGK,2019-01-01,2019-10-01,Month-to-month,Yes,Mailed check,72.9,651.4,DSL,No,No,Yes,Yes,Yes,Yes,Female,0,No,Yes,No,1
161,0263-FJTQO,2015-12-01,,Two year,Yes,Credit card (automatic),70.5,3486.65,DSL,Yes,No,No,Yes,Yes,No,Male,0,Yes,Yes,Yes,0
162,0264-CNITK,2014-03-01,,Two year,No,Bank transfer (automatic),20.1,1389.6,,,,,,,,Female,0,Yes,Yes,No,0
163,0265-EDXBD,2017-04-01,2019-12-01,Month-to-month,Yes,Electronic check,74.9,2303.35,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,1
164,0265-PSUAE,2018-10-01,,Month-to-month,No,Bank transfer (automatic),100.7,1522.7,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,0
165,0266-CLZKZ,2014-07-01,,Two year,Yes,Bank transfer (automatic),105.65,6717.9,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
166,0266-GMEAO,2014-02-01,,Two year,Yes,Credit card (automatic),114.3,8058.55,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
